make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign,id
Linc. Mark V,13594,12,3,2.5,18,4720,230,48,400,2.47,Domestic,72
Linc. Continental,11497,12,3,3.5,22,4840,233,51,400,2.47,Domestic,68
Peugeot 604,12990,14,,3.5,14,3420,192,38,163,3.5799999,Foreign,70
Linc. Versailles,13466,14,3,3.5,15,3830,201,41,302,2.47,Domestic,71
Cad. Eldorado,14500,14,2,3.5,16,3900,204,43,350,2.1900001,Domestic,73
Merc. Cougar,5379,14,4,3.5,16,4060,221,48,302,2.75,Domestic,43
Merc. XR-7,6303,14,4,3,16,4130,217,45,302,2.75,Domestic,55
Cad. Deville,11385,14,3,4,20,4330,221,44,425,2.28,Domestic,67
Merc. Marquis,6165,15,3,3.5,23,3720,212,44,302,2.26,Domestic,52
Buick Electra,7827,15,4,4,20,4080,222,43,350,2.4100001,Domestic,60
Dodge Magnum,5886,16,2,4,17,3600,206,46,318,2.47,Domestic,50
Chev. Impala,5705,16,4,4,20,3690,212,43,250,2.5599999,Domestic,45
Buick Riviera,10372,16,3,3.5,17,3880,207,43,231,2.9300001,Domestic,66
Olds Toronado,10371,16,3,3.5,17,4030,206,43,350,2.4100001,Domestic,65
Audi 5000,9690,17,5,3,15,2830,189,37,131,3.2,Foreign,63
Volvo 260,11995,17,5,2.5,14,3170,193,37,163,2.98,Foreign,69
AMC Pacer,4749,17,3,3,11,3350,173,40,258,2.53,Domestic,34
Dodge St. Regis,6342,17,2,4.5,21,3740,220,46,225,2.9400001,Domestic,56
Toyota Celica,5899,18,5,2.5,14,2410,174,36,134,3.0599999,Foreign,51
Toyota Corona,5719,18,5,2,11,2670,175,36,134,3.05,Foreign,46
Plym. Volare,4060,18,2,5,16,3330,201,44,225,3.23,Domestic,13
Merc. Monarch,4516,18,3,3,15,3370,198,41,250,2.4300001,Domestic,28
Pont. Firebird,4934,18,1,1.5,7,3470,198,42,231,3.0799999,Domestic,37
Dodge Diplomat,4010,18,2,4,17,3600,206,46,318,2.47,Domestic,12
Buick LeSabre,5788,18,3,4,21,3670,218,43,231,2.73,Domestic,47
Olds Delta 88,4890,18,4,4,20,3690,218,42,231,2.73,Domestic,36
Pont. Catalina,5798,18,4,4,20,3700,214,42,231,2.73,Domestic,48
Pont. Le Mans,4723,19,3,3.5,17,3200,199,40,231,2.9300001,Domestic,32
Pont. Grand Prix,5222,19,3,2,16,3210,201,45,231,2.9300001,Domestic,42
Olds Cutlass,4733,19,3,4.5,16,3300,198,42,231,2.9300001,Domestic,33
Olds Cutl Supr,5172,19,3,2,16,3310,198,42,231,2.9300001,Domestic,40
Olds Omega,4181,19,3,4.5,14,3370,200,43,231,3.0799999,Domestic,17
Buick Skylark,4082,19,3,3.5,13,3400,200,42,231,3.0799999,Domestic,14
Pont. Phoenix,4424,19,,3.5,13,3420,203,43,231,3.0799999,Domestic,22
Chev. Nova,3955,19,3,3.5,13,3430,197,43,250,2.5599999,Domestic,9
Merc. Zephyr,3291,20,3,3.5,17,2830,195,43,140,3.0799999,Domestic,1
Buick Century,4816,20,3,4.5,16,3250,196,40,196,2.9300001,Domestic,35
Buick Regal,5189,20,3,2,16,3280,200,42,196,2.9300001,Domestic,41
Fiat Strada,4296,21,3,2.5,16,2130,161,36,105,3.3699999,Foreign,20
Ford Mustang,4187,21,3,2,10,2650,179,43,140,3.0799999,Domestic,18
Datsun 810,8129,21,4,2.5,8,2750,184,38,146,3.55,Foreign,61
Olds 98,8814,21,4,4,20,4060,220,43,350,2.4100001,Domestic,62
Cad. Seville,15906,21,3,3,13,4290,204,45,350,2.24,Domestic,74
Merc. Bobcat,3829,22,4,3,9,2580,169,39,140,2.73,Domestic,7
AMC Spirit,3799,22,,3,12,2640,168,35,121,3.0799999,Domestic,6
AMC Concord,4099,22,3,2.5,11,2930,186,40,121,3.5799999,Domestic,15
Chev. Malibu,4504,22,3,3.5,17,3180,193,31,200,2.73,Domestic,27
Chev. Monte Carlo,5104,22,2,2,16,3220,200,41,200,2.73,Domestic,39
Audi Fox,6295,23,3,2.5,11,2070,174,36,97,3.7,Foreign,54
VW Dasher,7140,23,4,2.5,12,2160,172,36,97,3.74,Foreign,59
Datsun 200,6229,23,4,1.5,6,2370,170,35,119,3.8900001,Foreign,53
Datsun 510,5079,24,4,2.5,8,2280,170,34,119,3.54,Foreign,38
Pont. Sunbird,4172,24,2,2,7,2690,179,41,151,2.73,Domestic,16
Olds Starfire,4195,24,1,2,10,2730,180,40,151,2.73,Domestic,19
Chev. Monza,3667,24,2,2,7,2750,179,40,151,2.73,Domestic,3
VW Rabbit,4697,25,4,3,15,1930,155,35,89,3.78,Foreign,31
VW Scirocco,6850,25,4,2,16,1990,156,36,97,3.78,Foreign,58
Plym. Horizon,4482,25,3,4,17,2200,165,36,105,3.3699999,Domestic,25
Honda Accord,5799,25,5,3,10,2240,172,36,107,3.05,Foreign,49
BMW 320i,9735,25,4,2.5,12,2650,177,34,121,3.6400001,Foreign,64
Renault Le Car,3895,26,3,3,10,1830,142,34,79,3.72,Foreign,8
Buick Opel,4453,26,,3,10,2230,170,34,304,2.8699999,Domestic,24
Plym. Sapporo,6486,26,,1.5,8,2520,182,38,119,3.54,Domestic,57
Honda Civic,4499,28,4,2.5,5,1760,149,34,91,3.3,Foreign,26
Ford Fiesta,4389,28,4,1.5,9,1800,147,33,98,3.1500001,Domestic,21
Plym. Arrow,4647,28,3,2,11,3260,170,37,156,3.05,Domestic,30
Chev. Chevette,3299,29,3,2.5,9,2110,163,34,231,2.9300001,Domestic,2
Mazda GLC,3995,30,4,3.5,11,1980,154,33,86,3.73,Foreign,11
Dodge Colt,3984,30,5,2,8,2120,163,35,98,3.54,Domestic,10
Toyota Corolla,3748,31,5,3,9,2200,165,35,97,3.21,Foreign,4
Plym. Champ,4425,34,5,2.5,11,1800,157,37,86,2.97,Domestic,23
Datsun 210,4589,35,5,2,8,2020,165,32,85,3.7,Foreign,29
Subaru,3798,35,5,2.5,11,2050,164,36,97,3.8099999,Foreign,5
VW Diesel,5397,41,5,3,15,2040,155,35,90,3.78,Foreign,44
